id,title
10111,Quận Thanh Xuân
10103,Quận Tây Hồ
10109,Quận Đống đa
10129,Thị xã Sơn Tây
40511,Huyện Can Lộc
40515,Huyện Cẩm Xuyên
40517,Huyện Hương Khê
40509,Huyện Hương Sơn
40523,Huyện Lộc Hà
40505,Huyện Nghi Xuân
40513,Huyện Thạch Hà
40521,Huyện Vũ Quang
40507,Huyện Đức Thọ
40501,Thành phố Hà Tĩnh
40519,Thị trấn Kỳ Anh
40503,Thị xã Hồng Lĩnh
40520,Thị xã Kỳ Anh
30510,Huyện Cao Phong
30511,Huyện Kim Bôi
30507,Huyện Kỳ Sơn (hết hiệu lực)
30509,Huyện Lương Sơn
30515,Huyện Lạc Sơn
30517,Huyện Lạc Thuỷ
30505,Huyện Mai Châu
30513,Huyện Tân Lạc
30519,Huyện Yên Thuỷ
30503,Huyện Đà Bắc
30501,Thành phố Hoà Bình
10905,Huyện Khoái Châu
10909,Huyện Kim Động
10911,Huyện Phù Cừ
10913,Huyện Tiên Lữ
10915,Huyện Văn Giang
10917,Huyện Văn Lâm
10919,Huyện Yên Mỹ
10907,Huyện Ân Thi
10901,Thành phố Hưng yên
10903,Thị xã Mỹ Hào
10719,Huyện Bình Giang
10717,Huyện Cẩm Giàng
10713,Huyện Gia Lộc
10711,Huyện Kim Thành
10709,Huyện Kinh Môn
10705,Huyện Nam Sách
10723,Huyện Ninh Giang
10707,Huyện Thanh Hà
10721,Huyện Thanh Miện
10715,Huyện Tứ Kỳ
10701,Thành phố Hải Dương
10703,Thị xã Chí Linh
10313,Huyện An Dương
10315,Huyện An Lão
10325,Huyện Bạch Long Vĩ
10323,Huyện Cát Hải
10317,Huyện Kiến Thuỵ
10311,Huyện Thuỷ Nguyên
10319,Huyện Tiên Lãng
10321,Huyện Vĩnh Bảo
10327,Quận Dương Kinh
10304,Quận Hải An
10301,Quận Hồng Bàng
10307,Quận Kiến An
10305,Quận Lê Chân
10303,Quận Ngô Quyền
10309,Quận Đồ Sơn
9003,Thành Phố Hải Phòng
81605,Huyện Châu Thành
81603,Huyện Châu Thành A
81611,Huyện Long Mỹ
81608,Huyện Phụng Hiệp
81609,Huyện Vị Thủy
